id,target,Branch,Res,Age,Income,HMOwn,LORes,HMVal,Moved,InArea,CRScore,AcctAge1,DDA,DDABal,Dep,DepAmt,Inv,InvBal,CashBk,Checks,DirDep,NSF,NSFAmt,Phone,Teller,Sav,SavBal,ATM,ATMAmt,POS,POSAmt,CD,CDBal,IRA,IRABal,LOC,LOCBal,ILS,ILSBal,MM,MMBal,MMCred,MTG,MTGBal,CCBal,CCPurc,SDB
1,0,B1,U,53,5,0,5,88,0,1,673,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1055.69,1,396.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.19,0,0
2,0,B1,S,44,44,1,9.5,115,0,1,668,62.8,1,2023.64,2,3565.64,0,0,0,14,1,0,0,0,0,1,38700.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.14,1,0
3,0,B1,S,50,64,1,7.5,119,0,1,638,58.7,1,1263.37,1,396.86,1,0,0,3,1,0,0,0,0,1,589.87,0,0,0,0,1,61500,1,6059.29,0,0,0,0,1,15676.59,2,0,0,0,0,1
4,0,B1,U,26,124,1,8,156,0,1,645,59,1,5627.44,2,2457.39,0,0,0,7,1,0,0,0,1,1,43006.6,1,297.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673.1,0,1
5,0,B1,R,46,59,1,8,102,0,0,682,59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,B1,U,,,,,,1,0,632,56.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7641.53,0,0,0,0,1,23100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,B1,U,48,48,1,2.5,108,0,1,700,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,145.31,1,51863.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959.06,1,0
8,0,B1,S,45,11,0,7.5,128,0,1,617,62.2,1,15320.42,3,1542.83,0,0,0,8,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,B1,S,61,25,0,5.5,112,0,1,695,59.6,1,5297.71,2,5555.33,0,0,0,5,0,0,0,0,5,1,31621.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,B1,U,52,20,1,8.5,85,0,1,669,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000.65,0,0,0,0,0,11666.2,3,0
11,0,B1,U,68,31,1,12.5,110,0,1,698,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,348.25,1,3483.49,0,0,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,B1,U,40,93,0,2,139,0,1,657,60,1,234.5,3,692.7,0,0,0,4,0,0,0,1,2,1,52.16,1,811.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,B1,U,,,,,,1,1,588,62.8,1,163.58,1,155.96,0,0,0,0,0,0,0,0,0,1,2136.98,1,563.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,B1,U,57,10,1,3.5,98,0,1,696,49.5,1,1060.95,2,2034.33,0,0,0,4,1,0,0,0,4,0,0,1,173.85,0,0,0,0,0,0,0,0,0,0,1,15667.75,0,0,0,1634.84,1,0
15,0,B1,S,44,79,1,3,136,0,1,602,62.2,1,383.25,1,342.5,0,0,0,0,0,0,0,0,4,1,3840.18,1,0,1,65.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,B1,R,70,20,1,8.5,90,0,1,676,53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33110.67,1,13977.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
