x,y
-1,0
-1,0
2501280,0
1000500,0
-1,0
2740500,0
-1,0
1483776,0
-1,0
-1,0
921600,0
3338496,0
1000500,0
2740500,0
-1,0
-1,0
1483776,0
2371680,1
2306880,0
2073600,0
2742336,0
2220480,0
-1,0
3338496,0
2203200,0
2073600,0
-1,0
2073600,0
2326320,0
2391120,0
-1,0
2742336,0
1483776,0
-1,0
-1,0
2742336,0
3338496,0
2742336,0
1000500,0
2073600,0
3338496,0
2073600,1
2742336,0
2742336,0
1036800,0
2742336,0
2448360,0
1483776,0
1000500,0
-1,0
2332800,0
-1,0
1000500,0
2742336,0
-1,0
2318760,0
3145728,0
1000500,0
1036080,1
3338496,0
-1,0
2073600,0
-1,0
2244240,0
921600,0
2220480,0
1483776,0
2740500,0
-1,0
2501280,0
2312280,0
3338496,0
2740500,0
1000500,0
1036800,0
-1,0
-1,0
1000500,1
1483776,0
2241000,0
2740500,0
1000500,0
2073600,1
2740500,0
-1,0
2196720,0
3338496,0
1000500,0
-1,0
-1,0
2314440,0
2377080,0
1036800,0
2742336,0
2177280,0
-1,0
2740500,0
2742336,0
2742336,0
1000500,0
-1,0
2740500,0
2742336,0
-1,0
2742336,0
2073600,0
2742336,0
2462400,0
-1,0
2299320,0
-1,0
-1,0
2740500,0
-1,0
-1,0
-1,0
2740500,0
1000500,1
2527200,0
2196720,0
2192400,0
-1,0
2740500,0
2446200,0
2391120,1
2740500,0
-1,0
1025280,0
2740500,0
-1,0
2740500,0
-1,0
-1,0
-1,0
-1,0
1000500,0
-1,0
-1,0
-1,0
2251125,0
2740500,0
2742336,0
2740500,0
1094400,0
1000500,0
2448360,0
3338496,0
-1,0
-1,1
2312280,0
2527200,0
2742336,1
2391120,0
2742336,0
1000500,0
-1,0
2742336,0
-1,0
-1,0
2073600,0
2742336,0
2742336,0
1483776,0
2742336,0
-1,0
1000500,0
2742336,0
2742336,0
2742336,0
-1,0
-1,0
2740500,0
2312280,0
1000500,0
976320,0
2742336,0
-1,0
2462400,0
-1,0
-1,0
-1,0
2312280,0
-1,0
2742336,0
1483776,0
-1,0
2740500,0
2740500,0
2527200,0
2742336,0
1000500,0
2740500,0
2446200,0
2289600,0
1483776,0
-1,0
2448360,0
2326320,1
2742336,0
2287440,0
-1,0
2326320,0
-1,0
-1,0
2298240,0
4163040,0
2740500,0
4348800,0
1000500,0
-1,0
1000500,0
-1,0
1000500,0
2304720,0
2233440,1
1094400,1
2742336,0
2740500,0
2742336,0
1000500,0
-1,0
4262400,0
2527200,0
2391120,0
-1,0
2742336,0
2742336,1
-1,0
2251125,0
2196720,0
2742336,0
-1,0
1000500,0
-1,0
2448360,0
2527200,0
1483776,0
2742336,1
1483776,0
2312280,0
2742336,0
-1,0
1000500,1
-1,1
2740500,0
2742336,0
2742336,0
2742336,0
2742336,0
-1,0
1000500,0
-1,0
2742336,0
-1,0
2073600,1
-1,0
2742336,0
1094400,0
2742336,1
2740500,1
-1,0
-1,0
2742336,0
1051200,0
-1,0
2742336,0
1000500,0
2742336,0
-1,0
1483776,0
2336040,0
2073600,1
2332800,0
-1,0
1036800,0
3338496,1
1000500,0
2073600,0
2365200,0
2740500,0
2401920,1
-1,0
3338496,0
1036080,0
-1,0
2384640,0
2384640,0
2196720,0
-1,0
1935360,0
2740500,0
2742336,0
2251125,0
2742336,0
2740500,0
2740500,0
-1,0
-1,0
2740500,0
3338496,0
2319840,0
2527200,0
2742336,0
2384640,0
-1,0
2527200,0
-1,1
-1,1
-1,0
2365200,0
-1,0
2201040,0
2740500,0
2439720,0
-1,0
2740500,0
-1,0
2740500,0
858240,0
-1,0
2073600,0
-1,0
-1,0
2742336,0
867600,0
-1,0
2740500,0
-1,0
2430000,0
2220480,1
-1,0
2386800,0
-1,0
-1,0
-1,0
2377080,0
2742336,0
2073600,0
2377080,0
2742336,0
2073600,0
2527200,0
-1,0
2391120,0
-1,0
2305800,0
2742336,0
1036080,0
